Designator,Mid X,Mid Y,Rotation,Layer
_3,3.81,104.775,0.0,top
_2,3.81,81.915,0.0,top
,3.81,127.0,0.0,top
F1,27.34,138.42,270.0,top
J10,92.71,55.88,180.0,bottom
J11,92.71,73.66,180.0,bottom
J12,92.71,78.74,180.0,bottom
J13,92.71,96.52,180.0,bottom
J14,92.71,101.6,180.0,bottom
J15,92.71,119.38,180.0,bottom
J16,92.71,124.46,180.0,bottom
J2,54.61,153.67,0.0,top
J3,49.53,31.75,0.0,top
J5,54.61,53.34,180.0,bottom
J6,54.61,76.2,180.0,bottom
J7,54.62,99.06,180.0,bottom
J8,54.61,121.92,180.0,bottom
J9,92.71,50.8,180.0,bottom
