Designator,Mid X,Mid Y,Rotation,Layer
_2069,105.36,73.152,0.0,top
_2068,140.92,154.432,0.0,top
_2067,133.3,60.452,0.0,top
_2066,146.0,123.952,0.0,top
_2065,123.14,151.892,0.0,top
_2064,67.26,93.472,0.0,top
_2063,158.7,96.012,0.0,top
_2062,69.8,75.692,0.0,top
_2061,143.46,123.952,0.0,top
_2060,74.88,57.912,0.0,top
_2059,110.44,60.452,0.0,top
_2058,171.4,85.852,0.0,top
_2057,146.0,116.332,0.0,top
_2056,110.44,57.912,0.0,top
_2055,130.76,73.152,0.0,top
_2054,102.82,144.272,0.0,top
_2053,82.5,131.572,0.0,top
_2052,120.6,134.112,0.0,top
_2051,92.66,116.332,0.0,top
_2050,102.82,154.432,0.0,top
_2049,125.68,149.352,0.0,top
_2048,77.42,141.732,0.0,top
_2047,115.52,118.872,0.0,top
_2046,163.78,60.452,0.0,top
_2045,112.98,106.172,0.0,top
_2044,87.58,118.872,0.0,top
_2043,67.26,149.352,0.0,top
_2042,125.68,126.492,0.0,top
_2041,158.7,131.572,0.0,top
_2040,87.58,55.372,0.0,top
_2039,67.26,73.152,0.0,top
_2038,62.18,60.452,0.0,top
_2037,105.36,88.392,0.0,top
_2036,176.48,83.312,0.0,top
_2035,85.04,93.472,0.0,top
_2034,166.32,75.692,0.0,top
_2033,133.3,154.432,0.0,top
_2032,135.84,106.172,0.0,top
_2031,62.18,136.652,0.0,top
_2030,166.32,45.212,0.0,top
_2029,107.9,108.712,0.0,top
_2028,120.6,116.332,0.0,top
_2027,171.4,108.712,0.0,top
_2026,87.58,70.612,0.0,top
_2025,153.62,65.532,0.0,top
_2024,135.84,149.352,0.0,top
_2023,67.26,55.372,0.0,top
_2022,138.38,134.112,0.0,top
_2021,69.8,126.492,0.0,top
_2020,171.4,73.152,0.0,top
_2019,102.82,121.412,0.0,top
_2018,179.02,126.492,0.0,top
_2017,140.92,80.772,0.0,top
_2016,92.66,144.272,0.0,top
_2015,138.38,141.732,0.0,top
_2014,120.6,149.352,0.0,top
_2013,125.68,103.632,0.0,top
_2012,62.18,93.472,0.0,top
_2011,97.74,85.852,0.0,top
_2010,102.82,106.172,0.0,top
_2009,179.02,121.412,0.0,top
_2008,140.92,151.892,0.0,top
_2007,82.5,90.932,0.0,top
_2006,135.84,78.232,0.0,top
_2005,171.4,93.472,0.0,top
_2004,72.34,121.412,0.0,top
_2003,140.92,73.152,0.0,top
_2002,112.98,146.812,0.0,top
_2001,130.76,55.372,0.0,top
_2000,118.06,126.492,0.0,top
_1999,67.26,151.892,0.0,top
_1998,115.52,131.572,0.0,top
_1997,79.96,106.172,0.0,top
_1996,146.0,60.452,0.0,top
_1995,110.44,88.392,0.0,top
_1994,118.06,88.392,0.0,top
_1993,77.42,50.292,0.0,top
_1992,120.6,96.012,0.0,top
_1991,74.88,52.832,0.0,top
_1990,105.36,123.952,0.0,top
_1989,69.8,123.952,0.0,top
_1988,77.42,123.952,0.0,top
_1987,123.14,52.832,0.0,top
_1986,140.92,101.092,0.0,top
_1985,64.72,45.212,0.0,top
_1984,120.6,151.892,0.0,top
_1983,82.5,52.832,0.0,top
_1982,179.02,65.532,0.0,top
_1981,128.22,134.112,0.0,top
_1980,173.94,57.912,0.0,top
_1979,138.38,70.612,0.0,top
_1978,115.52,60.452,0.0,top
_1977,163.78,146.812,0.0,top
_1976,181.56,75.692,0.0,top
_1975,166.32,113.792,0.0,top
_1974,176.48,57.912,0.0,top
_1973,95.2,141.732,0.0,top
_1972,95.2,57.912,0.0,top
_1971,130.76,70.612,0.0,top
_1970,171.4,68.072,0.0,top
_1969,138.38,90.932,0.0,top
_1968,158.7,98.552,0.0,top
_1967,72.34,146.812,0.0,top
_1966,133.3,131.572,0.0,top
_1965,85.04,141.732,0.0,top
_1964,72.34,98.552,0.0,top
_1963,125.68,141.732,0.0,top
_1962,130.76,62.992,0.0,top
_1961,110.44,141.732,0.0,top
_1960,110.44,96.012,0.0,top
_1959,125.68,83.312,0.0,top
_1958,143.46,68.072,0.0,top
_1957,105.36,144.272,0.0,top
_1956,133.3,96.012,0.0,top
_1955,168.86,78.232,0.0,top
_1954,97.74,108.712,0.0,top
_1953,140.92,134.112,0.0,top
_1952,171.4,96.012,0.0,top
_1951,112.98,134.112,0.0,top
_1950,143.46,50.292,0.0,top
_1949,72.34,141.732,0.0,top
_1948,87.58,75.692,0.0,top
_1947,72.34,52.832,0.0,top
_1946,171.4,70.612,0.0,top
_1945,115.52,57.912,0.0,top
_1944,110.44,103.632,0.0,top
_1943,90.12,62.992,0.0,top
_1942,100.28,108.712,0.0,top
_1941,140.92,62.992,0.0,top
_1940,181.56,129.032,0.0,top
_1939,138.38,83.312,0.0,top
_1938,181.56,116.332,0.0,top
_1937,90.12,75.692,0.0,top
_1936,130.76,90.932,0.0,top
_1935,161.24,47.752,0.0,top
_1934,161.24,85.852,0.0,top
_1933,97.74,139.192,0.0,top
_1932,92.66,55.372,0.0,top
_1931,128.22,141.732,0.0,top
_1930,140.92,47.752,0.0,top
_1929,176.48,134.112,0.0,top
_1928,143.46,98.552,0.0,top
_1927,72.34,78.232,0.0,top
_1926,133.3,65.532,0.0,top
_1925,92.66,121.412,0.0,top
_1924,146.0,93.472,0.0,top
_1923,69.8,88.392,0.0,top
_1922,123.14,93.472,0.0,top
_1921,79.96,98.552,0.0,top
_1920,79.96,146.812,0.0,top
_1919,161.24,103.632,0.0,top
_1918,67.26,62.992,0.0,top
_1917,92.66,126.492,0.0,top
_1916,85.04,113.792,0.0,top
_1915,97.74,62.992,0.0,top
_1914,69.8,136.652,0.0,top
_1913,74.88,50.292,0.0,top
_1912,176.48,78.232,0.0,top
_1911,62.18,80.772,0.0,top
_1910,115.52,111.252,0.0,top
_1909,125.68,146.812,0.0,top
_1908,82.5,50.292,0.0,top
_1907,130.76,83.312,0.0,top
_1906,87.58,116.332,0.0,top
_1905,67.26,47.752,0.0,top
_1904,82.5,123.952,0.0,top
_1903,171.4,139.192,0.0,top
_1902,158.7,149.352,0.0,top
_1901,140.92,60.452,0.0,top
_1900,133.3,113.792,0.0,top
_1899,118.06,90.932,0.0,top
_1898,143.46,121.412,0.0,top
_1897,92.66,136.652,0.0,top
_1896,87.58,85.852,0.0,top
_1895,168.86,141.732,0.0,top
_1894,115.52,121.412,0.0,top
_1893,100.28,57.912,0.0,top
_1892,67.26,111.252,0.0,top
_1891,85.04,149.352,0.0,top
_1890,143.46,129.032,0.0,top
_1889,176.48,108.712,0.0,top
_1888,135.84,52.832,0.0,top
_1887,74.88,78.232,0.0,top
_1886,118.06,83.312,0.0,top
_1885,128.22,126.492,0.0,top
_1884,123.14,141.732,0.0,top
_1883,102.82,45.212,0.0,top
_1882,143.46,118.872,0.0,top
_1881,153.62,151.892,0.0,top
_1880,125.68,65.532,0.0,top
_1879,166.32,98.552,0.0,top
_1878,105.36,134.112,0.0,top
_1877,148.54,118.872,0.0,top
_1876,156.16,106.172,0.0,top
_1875,92.66,85.852,0.0,top
_1874,97.74,106.172,0.0,top
_1873,110.44,136.652,0.0,top
_1872,105.36,93.472,0.0,top
_1871,62.18,75.692,0.0,top
_1870,120.6,146.812,0.0,top
_1869,110.44,129.032,0.0,top
_1868,125.68,139.192,0.0,top
_1867,77.42,90.932,0.0,top
_1866,92.66,45.212,0.0,top
