Designator,Footprint,Quantity,Value,LCSC Part #
"_446, _445, _444, _443, _442, _441, _440, _439, _438, _437, _436, _435, _434, _433, _432, _431, _430, _429, _428, _427, _426, _425, _424, _423, _422, _421, _420, _419, _418, _417, _416, _415, _414, _413, _412, _411, _410, _409, _408, _407, _406, _405, _404, _403, _402, _401, _400, _399, _398, _397, _396, _395, _394, _393, _392, _391, _390, _389, _388, _387, _386, _385, _384, _383, _382, _381, _380, _379, _378, _377, _376, _375, _374, _373, _372, _371, _370, _369, _368, _367, _366, _365, _364, _363, _362, _361, _360, _359, _358, _357, _356, _355, _354, _353, _352, _351, _350, _349, _348, _347, _346, _345, _344, _343, _342, _341, _340, _339, _338, _337, _336, _335, _334, _333, _332, _331, _330, _329, _328, _327, _326, _325, _324, _323, _322, _321, _320, _319, _318, _317, _316, _315, _314, _313, _312, _311, _310, _309, _308, _307, _306, _305, _304, _303, _302, _301, _300, _299, _298, _297, _296, _295, _294, _293, _292, _291, _290, _289, _288, _287, _286, _285, _284, _283, _282, _281, _280, _279, _278, _277, _276, _275, _274, _273, _272, _271, _270, _269, _268, _267, _266, _265, _264, _263, _262, _261, _260, _259, _258, _257, _256, _255, _254, _253, _252, _251, _250, _249, _248, _247",,200,,
"_246, _245, _244, _243, _242, _241, _240, _239, _238, _237, _236, _235, _234, _233, _232, _231, _230, _229, _228, _227, _226, _225, _224, _223, _222, _221, _220, _219, _218, _217, _216, _215, _214, _213, _212, _211, _210, _209, _208, _207, _206, _205, _204, _203, _202, _201, _200, _199, _198, _197, _196, _195, _194, _193, _192, _191, _190, _189, _188, _187, _186, _185, _184, _183, _182, _181, _180, _179, _178, _177, _176, _175, _174, _173, _172, _171, _170, _169, _168, _167, _166, _165, _164, _163, _162, _161, _160, _159, _158, _157, _156, _155, _154, _153, _152, _151, _150, _149, _148, _147, _146, _145, _144, _143, _142, _141, _140, _139, _138, _137, _136, _135, _134, _133, _132, _131, _130, _129, _128, _127, _126, _125, _124, _123, _122, _121, _120, _119, _118, _117, _116, _115, _114, _113, _112, _111, _110, _109, _108, _107, _106, _105, _104, _103, _102, _101, _100, _99, _98, _97, _96, _95, _94, _93, _92, _91, _90, _89, _88, _87, _86, _85, _84, _83, _82, _81, _80, _79, _78, _77, _76, _75, _74, _73, _72, _71, _70, _69, _68, _67, _66, _65, _64, _63, _62, _61, _60, _59, _58, _57, _56, _55, _54, _53, _52, _51, _50, _49, _48, _47",,200,,
"_46, _45, _44, _43, _42, _41, _40, _39, _38, _37, _36, _35, _34, _33, _32, _31, _30, _29, _28, _27, _26, _25, _24, _23, _22, _21, _20, _19, _18, _17, _16, _15, _14, _13, _12, _11, _10, _9, _8, _7, _6, _5, _4, _3, _2, ",,46,,
A1,Arduino_Nano,1,Arduino_Nano,
A2,Arduino_Nano,1,Arduino_Nano_RP2040_Connect,
C1,CP_Radial_D5.0mm_P2.50mm,1,100uF,
"C10, C13, C15, C5",C_Disc_D4.3mm_W1.9mm_P5.00mm,4,0.047u,
"C11, C2, C4, C6, C8, C9",C_Disc_D4.3mm_W1.9mm_P5.00mm,6,0.1u,
"C12, C14, C16, C3, C7",C_Disc_D4.3mm_W1.9mm_P5.00mm,5,0.022u,
D1,D_T-1_P5.08mm_Horizontal,1,1N4148WT,
IC10,DIP-16_W7.62mm,1,74LS138,
IC6,DIP-40_W15.24mm,1,8255,
IC9,DIP-16_W7.62mm,1,74LS139,
J1,BUS_MZ2000,1,Conn_02x22_Row_Letter_First,
J2,PinHeader_2x22_P2.54mm_Vertical,1,Conn_02x22_Row_Letter_First,
"J3, J4, J5",5V-GND-TH,3,Conn_01x02_Pin,
"R1, R10, R13, R22, R3",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,5,10K,
"R11, R14, R2, R4",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,4,5.1K,
"R12, R7, R8, R9",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,4,0,
"R15, R16, R5, R6",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,4,1K,
"R17, R18, R19, R20",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,4,220,
R21,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,1M,
R23,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,3.3K,
RA1,R_Array_SIP9,1,10K,
U1,DIP-16_W7.62mm_Socket,1,74LS259,
"U2, U3, U4, U5",CERDIP-28_W7.62mm_SideBrazed,4,ATP3011-PU,
"V1, V2, V3, V4",LED_D3.0mm_Clear,4,LED,
VOUT1,Jack_3.5mm_Switronic_ST-005-G_horizontal,1,AudioJack3,
