Designator,Mid X,Mid Y,Rotation,Layer
_446,118.06,65.532,0.0,top
_445,181.56,85.852,0.0,top
_444,64.72,57.912,0.0,top
_443,135.84,45.212,0.0,top
_442,123.14,57.912,0.0,top
_441,123.14,83.312,0.0,top
_440,118.06,75.692,0.0,top
_439,123.14,60.452,0.0,top
_438,179.02,96.012,0.0,top
_437,125.68,70.612,0.0,top
_436,125.68,85.852,0.0,top
_435,128.22,96.012,0.0,top
_434,120.6,93.472,0.0,top
_433,176.48,52.832,0.0,top
_432,171.4,154.463612,0.0,top
_431,69.8,62.960388,0.0,top
_430,62.18,149.352,0.0,top
_429,123.14,70.612,0.0,top
_428,64.72,65.532,0.0,top
_427,143.46,40.132,0.0,top
_426,123.14,88.392,0.0,top
_425,110.398968,90.932,0.0,top
_424,179.02,60.452,0.0,top
_423,171.4,52.832,0.0,top
_422,115.52,96.012,0.0,top
_421,158.7,45.212,0.0,top
_420,184.1,80.772,0.0,top
_419,112.98,42.672,0.0,top
_418,128.22,88.392,0.0,top
_417,140.92,40.132,0.0,top
_416,125.68,83.312,0.0,top
_415,67.26,149.383612,0.0,top
_414,118.06,106.140388,0.0,top
_413,100.28,45.212,0.0,top
_412,161.24,129.032,0.0,top
_411,107.9,55.372,0.0,top
_410,120.6,78.232,0.0,top
_409,110.44,40.132,0.0,top
_408,128.22,45.212,0.0,top
_407,102.82,47.752,0.0,top
_406,105.36,45.212,0.0,top
_405,102.82,55.372,0.0,top
_404,184.1,73.152,0.0,top
_403,181.56,78.232,0.0,top
_402,118.06,83.312,0.0,top
_401,57.1,55.340388,0.0,top
_400,102.82,50.292,0.0,top
_399,107.9,52.832,0.0,top
_398,69.8,123.952,0.0,top
_397,166.32,42.672,0.0,top
_396,128.22,50.292,0.0,top
_395,153.62,47.752,0.0,top
_394,171.4,50.292,0.0,top
_393,173.94,146.812,0.0,top
_392,125.68,80.772,0.0,top
_391,181.56,73.152,0.0,top
_390,120.6,106.140388,0.0,top
_389,140.92,45.212,0.0,top
_388,59.64,60.420388,0.0,top
_387,181.56,98.552,0.0,top
_386,181.56,154.432,0.0,top
_385,179.02,73.152,0.0,top
_384,179.02,154.432,0.0,top
_383,140.92,50.292,0.0,top
_382,128.178968,90.932,0.0,top
_381,179.02,98.552,0.0,top
_380,67.26,126.492,0.0,top
_379,67.26,146.843612,0.0,top
_378,123.14,65.532,0.0,top
_377,118.06,73.152,0.0,top
_376,181.56,151.892,0.0,top
_375,64.72,126.523612,0.0,top
_374,125.68,96.012,0.0,top
_373,138.38,42.672,0.0,top
_372,67.26,123.952,0.0,top
_371,168.86,154.432,0.0,top
_370,161.24,45.212,0.0,top
_369,163.78,55.372,0.0,top
_368,133.3,129.032,0.0,top
_367,64.72,62.992,0.0,top
_366,69.8,149.352,0.0,top
_365,120.6,88.392,0.0,top
_364,181.56,55.372,0.0,top
_363,128.22,73.152,0.0,top
_362,123.14,73.152,0.0,top
_361,62.18,126.492,0.0,top
_360,168.86,149.352,0.0,top
_359,181.56,75.692,0.0,top
_358,123.14,62.992,0.0,top
_357,115.52,45.212,0.0,top
_356,179.02,85.852,0.0,top
_355,110.44,50.292,0.0,top
_354,179.02,146.812,0.0,top
_353,123.14,78.232,0.0,top
_352,179.02,93.472,0.0,top
_351,110.44,93.472,0.0,top
_350,102.82,45.212,0.0,top
_349,72.34,57.880388,0.0,top
_348,128.22,68.072,0.0,top
_347,74.88,62.992,0.0,top
_346,181.56,88.392,0.0,top
_345,158.7,129.032,0.0,top
_344,110.44,55.372,0.0,top
_343,168.86,55.372,0.0,top
_342,173.94,42.672,0.0,top
_341,161.24,50.292,0.0,top
_340,166.32,45.212,0.0,top
_339,112.98,47.752,0.0,top
_338,69.8,55.340388,0.0,top
_337,179.02,78.232,0.0,top
_336,163.78,154.432,0.0,top
_335,163.78,40.132,0.0,top
_334,166.32,47.752,0.0,top
_333,72.34,55.340388,0.0,top
_332,171.4,146.843612,0.0,top
_331,151.08,45.212,0.0,top
_330,125.68,68.072,0.0,top
_329,118.06,88.423612,0.0,top
_328,130.76,52.832,0.0,top
_327,125.68,93.472,0.0,top
_326,166.32,52.832,0.0,top
_325,59.64,55.340388,0.0,top
_324,143.46,50.292,0.0,top
_323,166.32,50.292,0.0,top
_322,181.56,146.812,0.0,top
_321,135.84,40.132,0.0,top
_320,133.3,52.832,0.0,top
_319,62.18,60.420388,0.0,top
_318,143.46,42.672,0.0,top
_317,59.64,57.880388,0.0,top
_316,125.68,52.832,0.0,top
_315,158.7,42.672,0.0,top
_314,184.1,98.552,0.0,top
_313,100.28,50.292,0.0,top
